symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SHSE.000905,1d,4943.775,4991.127,4928.733,4962.593,7003568640,64206718464.0,4974.988,0,2019-06-26 00:00:00+08:00,2019-06-26 00:00:00+08:00
SZSE.399303,1d,6044.986,6091.232,6044.184,6072.542,16741812480,155289632768.0,6036.101,0,2019-06-27 00:00:00+08:00,2019-06-27 00:00:00+08:00
SHSE.000905,1d,4974.985,5030.371,4972.67,5007.483,8163126528,77117706240.0,4962.593,0,2019-06-27 00:00:00+08:00,2019-06-27 00:00:00+08:00
SHSE.000300,1d,3807.537,3854.08,3805.832,3834.817,10531635712,156483420160.0,3794.331,0,2019-06-27 00:00:00+08:00,2019-06-27 00:00:00+08:00
SHSE.000985,1d,4247.778,4294.293,4246.809,4275.796,42246036427,455060787468.0,4235.801,0,2019-06-27 00:00:00+08:00,2019-06-27 00:00:00+08:00
SHSE.000852,1d,5361.977,5415.359,5360.485,5397.571,12140918528,113704464384.0,5351.39,0,2019-06-27 00:00:00+08:00,2019-06-27 00:00:00+08:00
SHSE.000985,1d,4272.15,4272.15,4218.806,4244.083,39613664128,396333618290.0,4275.796,0,2019-06-28 00:00:00+08:00,2019-06-28 00:00:00+08:00
SHSE.000300,1d,3832.059,3835.232,3803.054,3825.587,8476613888,116512051200.0,3834.817,0,2019-06-28 00:00:00+08:00,2019-06-28 00:00:00+08:00
SZSE.399303,1d,6065.32,6065.32,5945.195,5982.182,16871904512,150245564416.0,6072.542,0,2019-06-28 00:00:00+08:00,2019-06-28 00:00:00+08:00
SHSE.000905,1d,5005.192,5005.192,4920.434,4950.479,7716462848,70271422464.0,5007.483,0,2019-06-28 00:00:00+08:00,2019-06-28 00:00:00+08:00
SHSE.000852,1d,5389.979,5389.979,5289.434,5321.433,11952729344,107858829312.0,5397.571,0,2019-06-28 00:00:00+08:00,2019-06-28 00:00:00+08:00
SHSE.000905,1d,5044.663,5100.261,5016.236,5100.261,11163021312,108157181952.0,4950.479,0,2019-07-01 00:00:00+08:00,2019-07-01 00:00:00+08:00
SHSE.000300,1d,3899.331,3936.668,3886.909,3935.811,15837033984,217470251008.0,3825.587,0,2019-07-01 00:00:00+08:00,2019-07-01 00:00:00+08:00
